experiment_id,dataset,model,input_size,role,config_or_command,run_dir,primary_artifact,status,epochs,evidence_summary,paper_use
vis_yolo11n_640,VisDrone2019-DET,YOLO11n,640,nano baseline,configs/train/baseline_yolo11n.yaml,runs/detect/baseline_yolo11n_visdrone,runs/detect/baseline_yolo11n_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed VisDrone baseline evidence
vis_yolo11n_960,VisDrone2019-DET,YOLO11n,960,high-resolution nano baseline,configs/train/baseline_yolo11n_960.yaml,runs/detect/baseline_yolo11n_960_visdrone,runs/detect/baseline_yolo11n_960_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed fair-resolution baseline evidence
vis_yolo11n_p2_640,VisDrone2019-DET,YOLO11n-P2,640,P2 ablation,configs/train/yolo11n_p2.yaml,runs/detect/yolo11n_p2_pretrained_visdrone,runs/detect/yolo11n_p2_pretrained_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed P2 ablation evidence
vis_yolo11n_p2_960,VisDrone2019-DET,YOLO11n-P2,960,P2 high-resolution ablation,configs/train/yolo11n_p2_960.yaml,runs/detect/yolo11n_p2_960_visdrone,runs/detect/yolo11n_p2_960_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed fair P2 evidence
vis_yolo11n_p2_ca_640,VisDrone2019-DET,YOLO11n-P2-CA,640,attention ablation,configs/train/yolo11n_p2_coordatt.yaml,runs/detect/yolo11n_p2_coordatt_visdrone,runs/detect/yolo11n_p2_coordatt_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed attention ablation evidence
vis_yolo11n_p2_ca_960,VisDrone2019-DET,YOLO11n-P2-CA,960,attention high-resolution ablation,configs/train/yolo11n_p2_coordatt_960.yaml,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/detect/yolo11n_p2_coordatt_960_visdrone_full/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed attention fair-resolution evidence
vis_yolo11n_p2_ca_smallobjaug,VisDrone2019-DET,YOLO11n-P2-CA-SmallObjAug,640,small-object augmentation ablation,configs/train/yolo11n_p2_coordatt_smallobj_aug.yaml,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed augmentation ablation evidence
vis_yolov5n_640,VisDrone2019-DET,YOLOv5n,640,classic lightweight YOLO reference,configs/train/baseline_yolov5n.yaml,runs/detect/baseline_yolov5n_visdrone,runs/detect/baseline_yolov5n_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed external baseline evidence
vis_yolov8n_640,VisDrone2019-DET,YOLOv8n,640,lightweight YOLO reference,configs/train/baseline_yolov8n.yaml,runs/detect/baseline_yolov8n_visdrone,runs/detect/baseline_yolov8n_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed external baseline evidence
vis_yolov8n_960,VisDrone2019-DET,YOLOv8n,960,high-resolution YOLOv8n reference,configs/train/baseline_yolov8n_960.yaml,runs/detect/baseline_yolov8n_960_visdrone,runs/detect/baseline_yolov8n_960_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed fair-resolution external baseline evidence
vis_yolo11s_640,VisDrone2019-DET,YOLO11s,640,larger-capacity reference,configs/train/baseline_yolo11s.yaml,runs/detect/baseline_yolo11s_visdrone,runs/detect/baseline_yolo11s_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed capacity reference evidence
vis_yolo11s_960,VisDrone2019-DET,YOLO11s,960,high-resolution larger-capacity reference,configs/train/baseline_yolo11s_960.yaml,runs/detect/baseline_yolo11s_960_visdrone,runs/detect/baseline_yolo11s_960_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,completed capacity reference evidence
vis_yolo11n_p2_tofc_960,VisDrone2019-DET,YOLO11n-P2-TOFC,960,candidate IEEE new method,configs/train/yolo11n_p2_tofc_960.yaml,runs/detect/yolo11n_p2_tofc_960_visdrone,runs/detect/yolo11n_p2_tofc_960_visdrone/weights/best.pt,complete,100,100/100 epochs and core artifacts present,locked until complete training evidence exists
uavdt_yolo11n_960,UAVDT,YOLO11n,960,cross-dataset baseline,configs/train/baseline_yolo11n_960_uavdt.yaml,runs/detect/baseline_yolo11n_960_uavdt,runs/detect/baseline_yolo11n_960_uavdt/weights/best.pt,pending,0,"missing run_dir,results.csv,args.yaml,best.pt",locked until UAVDT conversion and training complete
uavdt_yolo11n_p2_960,UAVDT,YOLO11n-P2,960,cross-dataset P2 validation,configs/train/yolo11n_p2_960_uavdt.yaml,runs/detect/yolo11n_p2_960_uavdt,runs/detect/yolo11n_p2_960_uavdt/weights/best.pt,pending,0,"missing run_dir,results.csv,args.yaml,best.pt",locked until UAVDT conversion and training complete
uavdt_yolov8n_960,UAVDT,YOLOv8n,960,cross-dataset external baseline,configs/train/baseline_yolov8n_960_uavdt.yaml,runs/detect/baseline_yolov8n_960_uavdt,runs/detect/baseline_yolov8n_960_uavdt/weights/best.pt,pending,0,"missing run_dir,results.csv,args.yaml,best.pt",locked until UAVDT conversion and training complete
uavdt_yolo11s_960,UAVDT,YOLO11s,960,cross-dataset capacity reference,configs/train/baseline_yolo11s_960_uavdt.yaml,runs/detect/baseline_yolo11s_960_uavdt,runs/detect/baseline_yolo11s_960_uavdt/weights/best.pt,pending,0,"missing run_dir,results.csv,args.yaml,best.pt",locked until UAVDT conversion and training complete
vis_scale_full,VisDrone2019-DET,enabled scale target list,960,full scale-wise analysis,tools/evaluate_scale_groups.py --targets-csv paper/tables/ieee_scale_eval_targets.csv,,paper/tables/ieee_scale_results_visdrone.csv,complete,0,found paper/tables/ieee_scale_results_visdrone.csv,locked until full scale-wise table and figure exist
