evidence_group,item,source,what_it_supports,what_it_does_not_support,manuscript_role
resolution_effect,YOLO11n 640 vs YOLO11n 960,paper/tables/main_comparison_for_paper.csv,High-resolution input is a major gain source for lightweight UAV detection,It does not prove P2 is responsible for the gain,Main result analysis
resolution_effect,YOLOv8n 640 vs YOLOv8n 960,paper/tables/main_comparison_for_paper.csv,Resolution gain is not unique to YOLO11n,It does not prove the proposed architecture is superior,External baseline context
p2_effect,YOLO11n-960 vs YOLO11n-P2-960,paper/tables/main_comparison_for_paper.csv,P2 gives modest aggregate gain under matched 960 input,It does not prove universal cross-dataset improvement,Ablation evidence
p2_small_object_effect,YOLO11n-960 vs YOLO11n-P2-960 scale recall,paper/tables/ieee_scale_results_visdrone.csv,P2 improves small-object recall on VisDrone diagnostics,It does not prove official AP-small improvement,Scale-wise evidence
p2_small_object_effect,YOLO11n-960 vs YOLO11n-P2-960 local scale-bin AP,paper/tables/ieee_scale_ap_results_visdrone.csv,P2 improves local small-bin AP on VisDrone diagnostics,It is not official COCO/VisDrone AP-small,Scale-wise evidence
attention_boundary,YOLO11n-P2-960 vs YOLO11n-P2-CA-960,paper/tables/main_comparison_for_paper.csv,CoordAttention changes precision-recall behavior,It does not consistently improve aggregate mAP,Attention ablation
attention_boundary,YOLO11n-P2-CA-960 scale recall,paper/tables/ieee_scale_results_visdrone.csv,CoordAttention increases small-object recall among nano variants,It does not dominate small-bin AP or aggregate mAP,Attention ablation
tofc_boundary,YOLO11n-P2-TOFC-960 aggregate result,paper/tables/main_comparison_for_paper.csv,TOFC gives the strongest completed nano aggregate mAP on VisDrone,It does not prove best small-object diagnostic behavior,Candidate module evidence
tofc_boundary,YOLO11n-P2-TOFC-960 local scale-bin AP,paper/tables/ieee_scale_ap_results_visdrone.csv,TOFC aggregate gain has a diagnostic boundary,It should not be written as proven small-object improvement,Boundary evidence
capacity_boundary,YOLO11s-960 vs nano variants,paper/tables/main_comparison_for_paper.csv,Larger capacity remains stronger in absolute accuracy,It does not invalidate lightweight trade-off analysis,Honest upper reference
efficiency_tradeoff,P2-family speed and complexity,paper/tables/speed_results.csv;paper/tables/model_complexity.csv,P2/CA/TOFC add computational cost and latency,It does not prove deployment superiority by itself,Efficiency analysis
uavdt_boundary,YOLO11n-960 UAVDT complete run,paper/tables/ieee_uavdt_results_for_paper.csv,Cross-dataset resolution-matched YOLO11n baseline is complete,It does not support a P2 transfer claim by itself,Cross-dataset baseline evidence
uavdt_boundary,YOLO11n-P2-960 UAVDT complete run,paper/tables/ieee_uavdt_results_for_paper.csv,P2 is weaker than YOLO11n-960 on UAVDT under the current setting,It does not support cross-dataset robustness or universal P2 improvement,Validity-boundary evidence
uavdt_boundary,YOLOv8n-960 and YOLO11s-960 UAVDT complete runs,paper/tables/ieee_uavdt_results_for_paper.csv,Alternative lightweight and larger-capacity references exceed YOLO11n-P2-960 on UAVDT,It does not invalidate the VisDrone scale-wise diagnostic finding,Cross-dataset reference evidence
