section,claim_or_content,status,required_evidence,current_source,next_action
Front Matter,Title and abstract follow benefits-costs-boundaries framing,ready_as_design,major-revision core argument and completed CSGate audit,"paper/reframed_core_argument.md; paper/MAJOR_REVISION_ROADMAP.md; paper/ieee_csgate_method_decision_audit.md","Finalize exact title after target journal and manual metadata are locked"
Front Matter,Submission metadata and author/funding information,locked,user/advisor confirmation,"paper/ieee_trans/submission_metadata_workbench.md","Fill manually after author order funding and release policy are confirmed"
Cover Letter,Evidence-bounded cover letter,locked,target journal final title author metadata and audited claims,"paper/ieee_trans/cover_letter_workbench.md","Create final draft only after final manuscript evidence is settled"
Introduction,UAV aerial detection has small-object dense-scene and deployment challenges,ready,dataset/source citation and problem framing,"paper/ieee_trans/references_seed.bib; paper/reframed_core_argument.md","Keep as paper problem statement rather than project progress"
Introduction,High-resolution prediction is studied as a mechanism rather than a guaranteed improvement,ready,major-revision roadmap and VisDrone evidence,"paper/MAJOR_REVISION_ROADMAP.md; paper/tables/reframed_evidence_matrix.csv","Use benefits-costs-boundaries wording"
Introduction,Research questions cover resolution effect P2 effect and validity boundary,ready,core argument,"paper/reframed_core_argument.md","Retain through final rewrite"
Related Work,UAV datasets include VisDrone UAVDT AI-TOD AU-AIR TinyPerson and HIT-UAV,ready,seed bibliography,"paper/ieee_trans/references_seed.bib","Verify metadata again before final references.bib"
Related Work,Recent UAV YOLO methods create novelty pressure,ready,seed bibliography and literature context table,"paper/tables/ieee_literature_context.csv; paper/ieee_trans/tables/literature_context.tex","Use as context only; no reproduced ranking claims"
Method,YOLO11n is the nano-scale reference,ready,model configs and completed runs,"configs/train/baseline_yolo11n.yaml; configs/train/baseline_yolo11n_960.yaml; paper/tables/main_comparison_for_paper.csv","Describe as baseline not final contribution"
Method,Problem formulation separates resolution P2 and small-object diagnostic effects,ready,current IEEE draft and evidence matrix,"paper/ieee_trans/main_draft.tex; paper/tables/reframed_evidence_matrix.csv","Keep formulas evidence-bounded and do not convert diagnostic metrics into official AP-small"
Method,P2 branch changes the prediction scale hierarchy,ready,model YAML and complexity table,"configs/models/yolo11n_p2.yaml; paper/tables/model_complexity.csv","Present as high-resolution prediction mechanism"
Method,CoordAttention is an auxiliary calibration ablation,ready,model YAML and completed run,"configs/models/yolo11n_p2_coordatt.yaml; paper/tables/main_comparison_for_paper.csv","Do not present as universal improvement"
Method,TOFC is a candidate calibration route with mixed diagnostic behavior,ready_with_caveat,completed VisDrone run and scale diagnostics,"runs/detect/yolo11n_p2_tofc_960_visdrone; paper/tables/main_comparison_for_paper.csv; paper/tables/ieee_scale_ap_results_visdrone.csv","Keep as candidate/ablation; do not claim final method unless cross-dataset evidence is added"
Method,ScaleAwareP2Gate is an adaptive P2 candidate with completed mixed/negative evidence,ready_with_caveat,implemented module completed runs and decision audit,"src/models/attention/scale_aware_p2_gate.py; configs/models/yolo11n_p2_scalegate.yaml; paper/ieee_trans/scalegate_method_section_draft.md; paper/figures/method/scalegate_schematic.png; paper/ieee_scalegate_method_decision_audit.md","Describe as an informative negative first-cycle adaptive gate; do not claim it as the proposed method"
Method,CrossScaleP2P3ConsistencyGate is the bounded adaptive method candidate,ready_with_caveat,implemented module completed runs diagnostics speed and decision audit,"src/models/attention/cross_scale_p2_p3_gate.py; configs/models/yolo11n_p2_csgate.yaml; paper/ieee_trans/csgate_method_section_draft.md; paper/ieee_csgate_result_gate_audit.md; paper/ieee_csgate_method_decision_audit.md","Use as partial cross-scale repair evidence; do not claim SOTA or cross-dataset superiority"
Method,TOFC is the final proposed contribution,locked,cross-dataset TOFC evidence required,"paper/ieee_trans/main_tex_preflight.md","Keep locked because current UAVDT comparison set does not validate TOFC"
Method,ScaleAwareP2Gate is the final proposed contribution,locked,complete ScaleGate VisDrone/UAVDT evidence required,"paper/IEEE_SCALEGATE_POST_RESULT_PROTOCOL.md","Keep locked until ScaleGate result integration and method-selection gates pass"
Experiments,VisDrone main comparison is complete,ready,completed run dirs and table,"paper/tables/main_comparison_for_paper.csv","Use exact values only"
Experiments,Resolution effect evidence is complete for VisDrone,ready,640-vs-960 rows,"paper/tables/main_comparison_for_paper.csv","Use to show resolution is a major gain source"
Experiments,P2 matched-resolution evidence is complete for VisDrone,ready,YOLO11n-960 vs YOLO11n-P2-960 rows,"paper/tables/main_comparison_for_paper.csv; paper/tables/ieee_scale_results_visdrone.csv","Use to show modest aggregate and small-object diagnostic gain"
Experiments,Scale-wise small-object recall/precision is complete,ready,scale-wise evaluation table,"paper/tables/ieee_scale_results_visdrone.csv","Use as recall/precision evidence only; do not describe as AP-small"
Experiments,Local scale-bin AP diagnostics are complete,ready,local AP-style scale table,"paper/tables/ieee_scale_ap_results_visdrone.csv","Use as local scale-bin AP only; do not describe as official AP-small"
